Имя:	Цена:	Адрес:	URL:
1-комн.	от 3422₽/сутки	Рядом со станцией метро Молодежная	https://kvartirka.com/russia/moskva/apartment-331482.html

1-комн.	от 2800₽/сутки	улица Героев Панфиловцев, 29к2	https://kvartirka.com/russia/moskva/apartment-332529.html

1-комн.	от 4395₽/сутки	Нижегородская улица, 32с15	https://kvartirka.com/russia/moskva/apartment-325826.html

1-комн.	от 3776₽/сутки	улица Маршала Сергеева, 3	https://kvartirka.com/russia/moskva/apartment-345938.html

1-комн.	от 3304₽/сутки	Рядом со станцией метро Окружная	https://kvartirka.com/russia/moskva/apartment-324135.html

1-комн.	от 8250₽/сутки	Рядом со станцией метро Тульская	https://kvartirka.com/russia/moskva/apartment-323195.html

1-комн.	от 2360₽/сутки	Рядом со станцией метро Беломорская	https://kvartirka.com/russia/moskva/apartment-337304.html

1-комн.	от 4130₽/сутки	Ботаническая улица, 33Вс1	https://kvartirka.com/russia/moskva/apartment-333030.html

1-комн.	от 3000₽/сутки	Бережковская наб., 10	https://kvartirka.com/russia/moskva/apartment-332588.html

1-комн.	от 3304₽/сутки	Осенний бульвар, 15	https://kvartirka.com/russia/moskva/apartment-331488.html

1-комн.	от 3795₽/сутки	Рядом со станцией метро Краснопресненская	https://kvartirka.com/russia/moskva/apartment-286859.html

1-комн.	от 4130₽/сутки	поселение Внуковское, Омская улица, 2	https://kvartirka.com/russia/moskva/apartment-332466.html

1-комн.	от 2208₽/сутки	Рядом со станцией метро Беломорская	https://kvartirka.com/russia/moskva/apartment-319895.html

1-комн.	от 3795₽/сутки	Рядом со станцией метро Киевская	https://kvartirka.com/russia/moskva/apartment-227374.html

1-комн.	от 5500₽/сутки	Рядом со станцией метро Технопарк	https://kvartirka.com/russia/moskva/apartment-350149.html

1-комн.	от 2400₽/сутки	Рядом со станцией метро Волоколамская	https://kvartirka.com/russia/moskva/apartment-300998.html

1-комн.	от 4390₽/сутки	Рядом со станцией метро Петровский парк	https://kvartirka.com/russia/moskva/apartment-364476.html

1-комн.	от 2800₽/сутки	Рядом со станцией метро Селигерская	https://kvartirka.com/russia/moskva/apartment-337112.html

1-комн.	от 1925₽/сутки	Рядом со станцией метро Селигерская	https://kvartirka.com/russia/moskva/apartment-309053.html

1-комн.	от 1700₽/сутки	Дмитровское шоссе, 107Ак5	https://kvartirka.com/russia/moskva/apartment-324079.html

1-комн.	от 2500₽/сутки	Рядом со станцией метро Краснопресненская	https://kvartirka.com/russia/moskva/apartment-268347.html

1-комн. квартира, 14 кв.м. на 2 человека	 от 3 105₽ до 10 395₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/flats/1601881/

2-комн.	от 4248₽/сутки	Рядом со станцией метро Парк Победы	https://kvartirka.com/russia/moskva/apartment-320211.html

2-комн.	от 5900₽/сутки	Рядом со станцией метро Молодежная	https://kvartirka.com/russia/moskva/apartment-321568.html

2-комн.	от 6490₽/сутки	Маршала Неделина 30 корп 1	https://kvartirka.com/russia/moskva/apartment-257739.html

2-комн.	от 4720₽/сутки	Рядом со станцией метро Парк Победы	https://kvartirka.com/russia/moskva/apartment-349383.html

2-комн.	от 4130₽/сутки	Рядом со станцией метро Саларьево	https://kvartirka.com/russia/moskovsky/apartment-336912.html

2-комн.	от 5060₽/сутки	Рядом со станцией метро Третьяковская	https://kvartirka.com/russia/moskva/apartment-284894.html

2-комн.	от 15000₽/сутки	Рядом со станцией метро Международная	https://kvartirka.com/russia/moskva/apartment-305516.html

2-комн.	от 7375₽/сутки	Рядом со станцией метро ВДНХ	https://kvartirka.com/russia/moskva/apartment-156052.html

3-комнатная квартира	4 900 ₽ за сутки	СПб,Невский проспект, 45/2	https://spb.sutochno.ru/993813

3-комнатная квартира	6 900 ₽ за сутки	Москва,Тверская улица, 17	https://www.sutochno.ru/968179

NEW! Апартаменты Алис рядом с Москва-Сити
⭐⭐⭐⭐⭐	6 100 ₽ за сутки	Москва,Шмитовский проезд, 39, к 1	https://www.sutochno.ru/1063515

NEW! Двухуровневая студия Алис для 4-х гостей
⭐⭐⭐⭐⭐	3 600 ₽ за сутки	Москва,Вернадского проспект, 41с1	https://www.sutochno.ru/1009571

NEW! Студия Алис с кроватью King Size 2 мин до ЦСКА
⭐⭐⭐⭐⭐	4 520 ₽ за сутки	Москва,Ходынский бульвар, 2	https://www.sutochno.ru/913351

Neotel 17	 от 2 080₽ до 7 150₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1577961/

SPA VIP апартаменты с сауной, джакузи в центре Москвы	8 650 ₽ за сутки	Москва,Автозаводская улица, 23, к 7	https://www.sutochno.ru/hotels/65571

SPA Люкс с сауной и джакузи, в центре Москвы	5 450 ₽ за сутки	Москва,Автозаводская улица, 23, к 7	https://www.sutochno.ru/hotels/65571

VITA Apartments - С видом на Москва-сити у м. Беговая	4 500 ₽ за сутки	Москва,Хорошевское шоссе, 16, к 2	https://www.sutochno.ru/1072873

Апарт-отель "AVENUE-APART"	 от 3 900₽ до 9 000₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1581298/

Апарт-отель "Izzzi на Банковском"	 от 2 650₽ до 16 200₽ ночь 	 Санкт-Петербург 	https://tvil.ru/city/sankt-peterburg/hotels/1590108/

Апартамент	2 700 ₽ за сутки	СПб,5-я Советская улица, 7-9	https://spb.sutochno.ru/897049

Апартамент	17 000 ₽ за сутки	СПб,реки Мойки набережная, 82	https://spb.sutochno.ru/965163

Апартамент в малоэтажном комплексе особняков на М. Белорусская	7 450 ₽ за сутки	Москва,3-я Ямского Поля улица, 9	https://www.sutochno.ru/968097

Апартамент на площади Восстания	3 000 ₽ за сутки	СПб,Лиговский проспект, 50, к 7	https://spb.sutochno.ru/1089323

Апартаменты 2-х уровневая студия	3 400 ₽ за сутки	СПб,Невский проспект, 124	https://spb.sutochno.ru/hotels/67683

Апартаменты Point	6 000 ₽ за сутки	СПб,Звенигородская улица, 12/17	https://spb.sutochno.ru/1530634

Апартаменты Атмосферная студия	4 000 ₽ за сутки	СПб,Гривцова переулок, 24	https://spb.sutochno.ru/hotels/98627

Апартаменты Сикоку - эконом	2 400 ₽ за сутки	Москва,Сиреневый бульвар, 15	https://www.sutochno.ru/hotels/65415

Апартаменты двухуровневый стандарт трехместный	1 400 ₽ за сутки	СПб,Владимирский проспект, 16	https://spb.sutochno.ru/hotels/33651

Апартаменты люкс с сауной в центре	4 850 ₽ за сутки	Москва,Автозаводская улица, 23, к 7	https://www.sutochno.ru/hotels/65571

